content,theme,sentiment,anls
颜色不是黑的，是灰色的谨慎 谨慎！！！,NULL;NULL;,谨慎;谨慎;,0;0;
这个线质量一般，一分钱一分货，我下次不买了，这次刚到了，一试就不好使，前几次还能用几天。,线质量;NULL;NULL;,一般;不好;能用;,0;-1;1;
相当不错很好看。,NULL;,不错;,1;
中性皮肤，耐受性较好，买了两件微导的一件活氧水的，恩是的上海产，比起台湾产的差了十万八千里啊，我为什么相信评论啊啊啊！第一，面膜很厚，没有胶纸，撕开很难，第二，精华液很少，第三，脚疼啊，我对烟酰胺没问题的，贴上脸就疼，说明防腐剂的量和种类很大，起码比台湾产的大多了！！！！我知道不能退，就当99交学费了！！！还有，我不是针对亚马逊，面膜生产厂家这么黑心，把我们的脸疼死才罢休么，我脸烂脸疼脸肿我认了！！！请亚马逊不要采购了！！！！了！！！,耐受性;NULL;面膜;精华液;脚;NULL;种类;NULL;NULL;NULL;NULL;,好;差;很厚;很少;疼;疼;很大;黑心;疼;烂;疼;,1;-1;1;1;-1;-1;1;-1;-1;-1;-1;
起泡起泡起泡起泡,NULL;NULL;NULL;NULL;,起泡;起泡;起泡;起泡;,-1;-1;-1;-1;
垃圾产品，,NULL;,垃圾;,-1;
打开之后，里面的显色剂竟然是已经用过的，只剩了三分之一，太可恶了。而且好像还不是正品。,NULL;NULL;,可恶;不是正品;,-1;-1;
用了再来评价，不行，都是垃圾,NULL;NULL;,不行;垃圾;,-1;-1;
冷暖移动空调，安装简单，制冷快，占用空间小，移动方便。,制冷;移动;,快;方便;,1;1;
菊花么得说的，想说说京东快递！2月5日下单说好的2月6日送货到，结果是6号下午给我打电话要我自己赶4公里自己去拿货，原因竟然是地址他不熟悉太晚了不值得，如果我不过去就要到2月11才给我送，汗啊！一直在京东购物选购京东自营商品看重的就是京东快递的负责准时，通过这次经历觉得京东服务还有值得提升的空间！！！,NULL;商品;NULL;NULL;NULL;,值得;看重;负责;准时;值得;,1;1;1;1;1;
女朋友喜欢白色 噪音也不大,NULL;,喜欢;,1;
货到了，还没穿，手感还好。,手感;,还好;,1;
说句实话，真没什么特别的，觉得不值这个价，洗完头发很干，而且显然没有控油功效，当然说明里也没说有。,觉得;头发;,不值;很干;,-1;-1;
商品特别小，色号好像发错了。。,NULL;,发错;,-1;
没有用就是散装的  什么包装都没有 明显用过的  算了难的退,包装;,明显;,0;
和外边买的没啥区别，用着感觉还不错。,感觉;,不错;,1;
挺好的，满意，不错！,NULL;NULL;NULL;,挺好;满意;不错;,1;1;1;
老牌子，还好吧,NULL;,还好;,1;
电视挺好   很清晰，操作方便  就是物流太慢了  。总体来说还是很满意的,电视;NULL;操作;总体;,挺好;清晰;方便;满意;,1;1;1;1;
吊坠有点大。项链。。。太～细了。珠珠就不用说了。就这样还想要好评？,NULL;NULL;,不用说;好评;,1;1;
不错，价格实惠，经常买，品质保证,NULL;价格;品质;,不错;实惠;保证;,1;1;1;
一般般。。。。。。。,NULL;,一般般;,0;
"洗发效果很差,不建议购买；",效果;,很差;,-1;
性价比很高，买一赠一,性价比;,很高;,1;
给妈妈买的，白发遮盖的比较好，颜色自然,NULL;颜色;,好;自然;,1;1;
质量差，现在没多人用这个了。都是小厂生产的，帮别人买的，还没试用，外观就过不了关。再试试功能吧，如果不行就退货。,质量;NULL;,差;不行;,-1;-1;
用了几天才来评价的，手机很稳定，运行速度也很快，买给小孩用的。,手机;运行速度;,稳定;很快;,1;1;
冷风力不够，德邦物流服务不行，有碰撞,服务;,不行;,-1;
是很服帖而且不怎么冒油，但是居然是珠光的！！！为什么不标注啊！完全只能当高光粉用！！！ 而且快递服务态度真是太差了！！！延迟了一天不说，害得我晚一天回家，打电话给他居然还对我吼！！！,态度;NULL;,太差;延迟;,-1;-1;
东西到的挺快，昨晚用了一片，没太大感觉，就当一般的面膜用了，反正都是用，价格比较便宜,NULL;NULL;价格;,挺快;一般;便宜;,1;0;1;
质量一般般。买来约2个月，测了20次左右。开始几次测的血糖值是4.7-9.7。2017-1-9日，30秒内联测2次，血糖值分别为8.7和6.1.搞的人一惊一乍的。,质量;,一般般;,0;
贴的好好的，边缘有地方翘起，估计用不长,,,
试用了两天一切都很好，下次再来[追评],NULL;,很好;,1;
总体感觉不好太小了拿回来也不能用如果换还的出**,,,
看到是德国技术，觉得靠谱，买回来一用方知，是油性的，还不易流动的，大夏天喷在身上，你懂得什么感觉······,觉得;,靠谱;,1;
已经在用了，东西很好，安装师傅态度也好！,东西;态度;,很好;也好;,1;1;
电视挺好的，一直都信任海信，大牌，放心！,电视;NULL;海信;,挺好;信任;放心;,1;1;1;
需要下载守护宝，SOS功能才可以使用。这点很不爽。其他还好吧。,功能;使用;NULL;,可以;不爽;还好;,1;-1;1;
不错，大家都在用的。,NULL;,不错;,1;
老妈用着说挺好的。,NULL;,挺好;,1;
安装好了，还没有正规试机器，总体感觉看起来还不错，期待试用效果在来评价,安装;NULL;看起来;,好;没有正规;不错;,1;-1;1;
不适合干皮，除非是夏天,,,
       太烂了,,,
差评！刚贴上去就裂了，还不给我换！,NULL;NULL;,差评;裂;,-1;-1;
给婆婆买了一个，邻居奶奶看到后，让我帮忙买了一台，都是前一天下单，第二天就到货了，速度很快，也是听别人说，容声是老品牌了，所以就直接买了，没考虑其他品牌，用了几天，觉得各方面挺好的。,速度;各方面;,很快;挺好;,1;1;
[追评]冰箱挺大的。挺好的,冰箱;NULL;,挺大;挺好;,1;1;
看着不错，但塑料的用料做工太一般，用了一次，手柄就开裂，连个水壶都做不好，还是得*货去。,看着;做工;NULL;,不错;一般;不好;,1;0;-1;
试用了还可以,NULL;,还可以;,1;
电池要每天一充，其他都还好，还有屏幕反应有点儿慢，用习惯了苹果所以安卓系统对俺来说慢的不是一点点，不过给孩子当学习的用品还是可以的。,NULL;NULL;NULL;NULL;,还好;慢;慢;可以;,1;-1;-1;1;
包装不怎么美观，才用一天不知道好不好用，用完才来评价,包装;,不怎么美观;,-1;
不错，速度是我用过的安卓机最快的，电池够用一天。屏幕和我之前的2k屏手机iuni u3一样赞,NULL;电池;NULL;,不错;够用;赞;,1;1;1;
不满意，太差了，刚买好，货还没拿到就降价了,NULL;NULL;,不满意;太差;,-1;-1;
挺好的，快递特别快,NULL;快递;,挺好;快;,1;1;
用不上又有什么用呢？,NULL;,用不上;,-1;
第二次购买了，买着送人。。用着方便省时间。,用着;,方便;,1;
宝贝质量很好，做工也很好，升温快，很保暖，无异味，很喜欢</br>,质量;做工;NULL;,很好;很好;喜欢;,1;1;1;
很满意的手机，日常应用很满意，指纹解锁是我用过最快的，打游戏也很给力，大多数游戏能60帧，就是崩坏3在开放世界怪多的时候会掉帧,NULL;NULL;NULL;,满意;满意;给力;,1;1;1;
很满意，海尔值得信赖,NULL;海尔;NULL;,满意;值得;信赖;,1;1;1;
挺好的，容量较大!,NULL;,挺好;,1;
电视收到了，包装很好，没有破损。电视还算清晰，色彩偏白。看久了眼睛会很累。搞活动买的，还算实惠，有网络功能，运行速度一般，wif,包装;电视;色彩;NULL;NULL;运行速度;,很好;清晰;偏白;久;实惠;一般;,1;1;-1;0;1;0;
钢化玻璃膜不对称    不过发货速度可以  希望下次改进,发货速度;,可以;,1;
根本就不凉，跟风扇没什么区别，就是看起来比风扇高大上,NULL;风扇;,不凉;高大上;,0;1;
好是好，就是会死机不好用,NULL;NULL;NULL;,好;好;不好用;,1;1;-1;
电视屏和边框有间隙不知道正常不   感觉有松动,NULL;感觉;,正常;松动;,1;-1;
好真心不错真心不错,NULL;NULL;NULL;,好;不错;不错;,1;1;1;
真的感觉像假货！干了一撩头发就会搞得头发好像有头屑一样雪花飞。,NULL;NULL;,假货;干;,-1;-1;
忘记了，，，，宝贝很好,宝贝;,很好;,1;
已安装好　很不错给好评,安装;NULL;NULL;,好;不错;好评;,1;1;1;
给妈妈买的，还不错耶,NULL;,不错;,1;
 卖家很热心，服务态度很好，物流很给力第二天就收到了，机子整体都很满意，作为90后诺基亚粉，见证了它的兴衰成败，总有一种说不出的感觉，机子配置不输于任何一部国产机，操作流畅，这样的配置，这种价格值了，作为备用机无压力，性价比很高了，收藏也是不错的。[追评],卖家;服务态度;物流;整体;操作;性价比;NULL;,热心;很好;给力;满意;流畅;很高;不错;,1;1;1;1;1;1;1;
电池不行，充满最多能用半小时就没电了，其它都还可以。,电池;NULL;NULL;,不行;能用;还可以;,-1;1;1;
.手机很好。大爱呵呵支持国产货,手机;NULL;,很好;大爱;,1;1;
滋润度很好，因为我唇色有点深，所以也看不出来有颜色，就当唇膏使了。,滋润度;NULL;,很好;深;,1;-1;
用着还可以，不过刚买几天就降价，也太扯了吧,用着;,还可以;,1;
后悔了我应该用六神。,NULL;,后悔;,-1;
平价中不错的一款眼霜,NULL;NULL;,平价;不错;,0;1;
第二次用已经就不行了，坏了，一会儿灯亮、一会儿灯灭的或者灯一直不亮，把我衣服都烫坏了，不知道这么多好评在哪里来的。,NULL;NULL;灯;NULL;,不行了;坏;不亮;好评;,0;-1;-1;1;
不错，空间够大，刚开始外面两侧很烫，而且声音也没有传说中那么安静，早上开晚上去摸就好很多了，问了客服说得等一段时间后才不会，秒杀价2499入手，值了！,NULL;空间;NULL;NULL;NULL;NULL;,不错;够大;很烫;安静;好;很多;,1;1;-1;1;1;1;
很满意！哈哈哈！,NULL;,满意;,1;
刚收到包裹，包装有点旧，还有脏东西,NULL;,旧;,-1;
不错，漂亮，比实体店性价比高多了，支持国货,NULL;NULL;性价比;,不错;漂亮;高;,1;1;1;
很好用,NULL;,很好;,1;
很满意，第二次购买了，帮姑姑买的，她也很满意,NULL;NULL;,满意;满意;,1;1;
不错，价格实惠，声音不大，制冷挺快的，用用以后在评价，快递不错，非常快，态度很好。,NULL;价格;制冷;快递;NULL;态度;,不错;实惠;挺快;不错;快;很好;,1;1;1;1;1;1;
电量很强势 手机很美[追评],手机;,很美;,1;
不满意，原样差太多,NULL;,不满意;,-1;
亚马逊自营的，信得过，感觉包装各方面还可以，比专柜便宜。,NULL;各方面;专柜;,信得过;还可以;便宜;,1;1;1;
还可以....................,NULL;,还可以;,1;
电视特别好，很清晰，父母很喜欢。,电视;NULL;NULL;,好;清晰;喜欢;,1;1;1;
挺好的，给力,NULL;NULL;,挺好;给力;,1;1;
拿到商品时包装还可以，打开包装发现瓶盖上的小嘴断掉了，在包装里也没看到断掉的那一小截，看来发货时就已经坏掉了。亚马逊的商家素质有待提高。,包装;NULL;,还可以;坏掉;,1;-1;
很差劲，别提了。商家赚钱不易。你能把钱腿给我吗？？！！,,,
还行吧，一般,NULL;NULL;,还行;一般;,1;0;
很满意。很好。,NULL;NULL;,满意;很好;,1;1;
一分钱一分货，就是有杂音,NULL;,有杂音;,-1;
好，，，，，，，，，，，，，，，，，，，,NULL;,好;,1;
不好，，，，，，，，,NULL;,不好;,-1;
更垃圾   都不能用   哎 服了你们啦,NULL;,垃圾;,-1;
颜色不错，只适合白皮肤,颜色;NULL;,不错;适合;,1;1;
还是蛮可以的,NULL;,可以;,1;
味道还可以,味道;,还可以;,1;
还可以吧 性价比不错,NULL;性价比;,还可以;不错;,1;1;
收到货外箱都破了，虽然是跟洗衣液太重有关系，但是希望商家下次打包坚固点。,NULL;洗衣液;NULL;,破;太重;坚固;,-1;-1;1;
买的豹七三七，发货单上卖家店名为&ldquo;京东保健店&rdquo;和我购货时商家名称不符，是不是产品有什么问题。不敢用!,NULL;,不符;,-1;
用了几天才来评价的，手机不错性价比高，卖家服务态度也很好。[追评],手机;性价比;态度;,不错;高;很好;,1;1;1;
现在目前用起还可以要用一段时间才知道结果，就是大耗电了，一个小时0.7度大吓人了,NULL;NULL;,还可以;吓人;,1;-1;
收到，还是不错的．就是画板本身的颗粒度比较大，画小一点的东西就模糊了（或者说笔画粗一点），也就是＂墨水＂就阴在一起了．另外四种不同的颜色是分布在不同区域的．在同一个区域内只有单种颜色．印章按上去有不同的图案，也相当于是画笔了，可以按着印章来回画．,NULL;东西;NULL;,不错;模糊;可以;,1;-1;1;
这次味道感觉不对,感觉;,不对;,-1;
收到试用了一下，感觉还不错,感觉;,不错;,1;
电话收到啦！感觉很棒，不曾存在的颜色，低调又不失美感！昨天看过大家的评价，并没有那些感觉，用着都很正常！,感觉;NULL;用着;,很棒;低调;正常;,1;0;1;
老婆非常喜欢，,NULL;,喜欢;,1;
洗力没有想象中那么大  但是以这个价位已经不错了  比较好清理,价位;NULL;,不错;好;,1;1;
用了几天才来评价的，制冷效果不错哦，而且移动方便，在出租屋里用真的很好,制冷效果;移动;NULL;,不错;方便;很好;,1;1;1;
不好装，颜色也没那么图片亮,NULL;,不好;,-1;
这个产品不错,产品;,不错;,1;
是正品 还送了一大堆赠品 好划算啊 而且电池特别赖用卖家真的也是很用心 我说我想要个黑色的赠品包 说是随机的 但是最后到了一看还真是黑色的 这次购物很满意 赞一个?,NULL;NULL;NULL;NULL;购物;NULL;,正品;好;划算;用心;满意;赞;,1;1;1;1;1;1;
[追评]安装及时售后师傅点赞,安装;师傅;,及时;点赞;,1;1;
还没用呢！！！！！！感觉不好,,,
膜有瑕疵，在边的位置有个地方贴不紧,NULL;,瑕疵;,-1;
相当伤心???！都是骗人的！,NULL;,伤心;,-1;
这款保护套很贴合手机，保护也很到位，四周全部有保护,NULL;,到位;,1;
电量非常给力[追评],NULL;,给力;,1;
很满意，非常满意！如愿以偿拿到了真心要的，谢谢。还是给店家五星 美美哒 跟图片一样?，很完美的一次购物！[追评],NULL;NULL;店家;NULL;,满意;满意;五星;完美;,1;1;1;1;
是我喜欢的香水，绿茶味，不会浓。还不错,NULL;NULL;,喜欢;不错;,1;1;
试用了几天才评价，没有噪音，制冷快，物有所值。,制冷;NULL;,快;物有所值;,1;1;
太夸张，里面容量估计一半都不到。外面有层中文的封膜，不然我真以为是用过的,NULL;,夸张;,-1;
质量一般，配送包装太差,质量;包装;,一般;太差;,0;-1;
不好用没羊毛，不暖,NULL;NULL;,不好用;不暖;,-1;-1;
很好，物流很快，东西也好，满意,NULL;物流;东西;NULL;,很好;很快;也好;满意;,1;1;1;1;
还行，只不过味道有点重，有点low，不过适合这个价位。,NULL;NULL;NULL;NULL;,还行;重;low;适合;,1;-1;-1;1;
盖压瘪了，懒得换了,NULL;,瘪;,-1;
刚到手，煮了一个蛋，炒鸡棒&hellip;&hellip;,,,
橙子味 淡淡的香气挺好的 不过我没看出来有什么很大的定型效果 我的发质算比较硬的就是 下次我再试试,NULL;香气;NULL;发质;,淡淡的;挺好;很大;硬;,1;1;1;-1;
老婆说挺好的，很好看是关键[追评],NULL;,挺好;,1;
不好，收到就坏掉一个后面的,NULL;NULL;,不好;坏掉;,-1;-1;
假货，假货，和我买的正品完全不一样。以后头发干涩，掉发很多,NULL;NULL;NULL;头发;NULL;,假货;假货;正品;干涩;很多;,-1;-1;1;-1;1;
很方便！帮同事买的！还煮鸡蛋带下来我们吃了的！！！！！,NULL;,方便;,1;
不错，是正品，网速也很快，很满意[追评],NULL;NULL;网速;NULL;,不错;正品;很快;满意;,1;1;1;1;
和实物不同看的太烂了,,,
还不错，就是包装的太简陋，希望可以改进包装。,NULL;NULL;NULL;,不错;简陋;可以;,1;-1;1;
试用中，网络信号有点差,网络信号;,差;,-1;
有点小贵哈。不过多芬的不错。,NULL;NULL;,小贵;不错;,-1;1;
"哎,京东什么时候也做二手了,明显使用过的,那么多划痕.做工差,最主要云台都卡不紧,相机在上面是晃动的.再也不要买便宜货了朋友们.",NULL;NULL;做工;NULL;NULL;,二手;明显;差;晃动;便宜货;,-1;0;-1;-1;-1;
买之前考虑阅读习惯，本书是繁体，竖屏。内容一般！,内容;,一般;,0;
很满意的一次购物，客服态度很好，很愉快，跟实体店买的一样，但性比价更高，还贴心的送了很多赠品，手机是正品，挺好用的，很适合女生，大小合适又很美观，好评好评好评！O(&cap;_&cap;O,NULL;客服态度;NULL;性比价;NULL;NULL;NULL;NULL;大小;NULL;NULL;NULL;NULL;,满意;很好;愉快;高;贴心;很多;正品;适合;合适;美观;好评;好评;好评;,1;1;1;1;1;1;1;1;1;1;1;1;1;
有点脏，不知道是不是二手的,NULL;NULL;,脏;二手;,-1;-1;
太小了，?实用,NULL;,实用;,1;
没有想象中那么好，太薄了~而且表面很粗糙老公说大人在前面都不舒服~看着没多少钱也就懒得退了&hellip;差强人意 哎！,NULL;NULL;表面;NULL;NULL;,好;太薄;粗糙;不舒服;差强人意;,1;0;-1;-1;-1;
东西不错，包装简陋了点！,东西;包装;,不错;简陋;,1;-1;
用起来还不错，洗完头后头发挺丝滑的,用起来;头发;,不错;丝滑;,1;1;
不错的存储卡，方便，易于安装,NULL;NULL;,不错;方便;,1;1;
东西很好 2星给客服,东西;,很好;,1;
中间几乎是空的，顶多就半瓶吧，比想象的少很多,NULL;,很多;,1;
用了两次了 第一次蒸的鸡蛋 当水没有后自动断电了 可是吓了一跳 底盘上都糊了&hellip;&hellip;擦了很久还有一点污渍 不知道其他买家是不是也有这问题,NULL;,很久;,-1;
喜欢这个小盒子才买的。不过遗憾的是木质花香不适合我。,NULL;NULL;,喜欢;遗憾;,1;-1;
很好就像这个烟灰缸一样切有毛线的用那么一点点能干啥一次性的吗？哥,NULL;,很好;,1;
用了两个月来评论。差真的很差，没有信号是经常的事。花了  钱买了一个信号差得不得了的手机。我是买给老人用的。经常打电话去都是不在服务区内。气死了。要不是老人家把盒了什么的都扔了我一定会退贷的。。。,NULL;NULL;信号;,差;很差;差;,-1;-1;-1;
电视和架子分开到！电视还不错，但电视到的当天，海尔人员来安装，架子没到，海尔人员提供架子的话要额外收钱！那么送的架子不到形同虚设了，若是等京东架子到在找人安装就是另一种情况了！所以很不方便...另外4k功能真的是不实用 片源忒少,电视;NULL;功能;,不错;不方便;不实用;,1;-1;-1;
帮朋友买的，据说还行，就是通话声音有点小，有点遗憾。,NULL;NULL;,还行;遗憾;,1;-1;
挺好的，免费的这个就可以啦，可以用好长时间了啦，今天刚买,NULL;NULL;NULL;NULL;,挺好;免费;可以;可以;,1;1;1;1;
帮妈妈染，她是短发一盒照理说还多了，结果染完白发根本盖不住！不小心沾在衣服上洗衣机一洗就干净了！！！而且洗完头发像枯草，白瞎了前面那么贵的洗发水养得那么好的头发！上次染买的欧莱雅妥妥的大家都说好看，染完头发还发亮，发质没受损软软的。天猫旗舰店里怡然还号称白发专用呢瞎扯，好气噢眼看就要过年了,洗;NULL;发质;NULL;,干净;贵;软软的;好气;,1;-1;1;-1;
我收到的贝德玛化妆水无包装，瓶盖破裂，瓶盖开口无法闭合 ，还防伪标签已刮过,瓶盖;,破裂;,-1;
不是很结实，装起来也麻烦，一个人是搞不定的,NULL;装起来;NULL;,结实;麻烦;搞不定;,1;-1;-1;
和在超市买的不管外包装还是面膜本身都不同，这款是酸奶的味道，面膜和超市买的感觉很廉价的样子，膜感觉质量很次，感觉易碎且割得很烂，小作坊做出来的一样，第一次敷脸上有刺痛感，这和亚马逊送的那款一样都有刺痛感，但是超市卖的却没有这种感觉出现。 超市买的外包装上有一个防伪标志，类似于钱币的那种3D标志，而这款唯独这个没有。,感觉;质量;感觉;NULL;,廉价;很次;易碎;很烂;,1;-1;-1;-1;
很喜欢 这个价位的相框 很划算，屏幕够大，图像也清晰,NULL;NULL;屏幕;NULL;,喜欢;划算;够大;清晰;,1;1;1;1;
不好用！！！！！,NULL;,不好用;,-1;
是买回家的，我也不知道好还不好，但是爸爸说不错,NULL;NULL;,不好;不错;,-1;1;
外观还不错，反应也挺快的，整体还可以！,外观;反应;整体;,不错;挺快;还可以;,1;1;1;
挺好的，很好用。这个牌子不错。,NULL;NULL;牌子;,挺好;很好;不错;,1;1;1;
刚开始使用，还没见效果，品牌不错。,品牌;,不错;,1;
很不好 才煮几次饭 几乎每次都是锅巴 因为煮好后不跳表  要不就是没跳到保温关闭那  煮个饭都要提心吊胆,NULL;,不好;,-1;
如题……害我在怀疑是不是假货……,,,
保湿效果还可以，就是比较黏，涂完睡觉可能不适合,保湿效果;,还可以;,1;
不是正品，好伤心?，买个爸爸的说喝了头会晕，超市里买的一样的喝了都不会,NULL;NULL;NULL;,不是正品;好;伤心;,-1;1;-1;
各方面都还好，就是像素不清楚，爱自拍的可以多考虑一下,各方面;像素;NULL;,还好;不清楚;可以;,1;-1;1;
我之前用任何护肤品和化妆品都没有过敏的现象。曾经用过露得清的洗面奶也没有问题。 上个月底用了两次此产品。只喷了胳膊和小腿。结果严重过敏，这个是不是假货啊 现在每天都超级痒痒。能明显看到表层一片小疙瘩。半个多月了还没好。能去哪投诉么？,化妆品;洗面奶;结果;NULL;NULL;NULL;,没有过敏;没有问题;严重;过敏;明显;没好;,1;-1;-1;-1;0;-1;
东西很脏。一打开有些上面有凸出来的东西。,东西;,很脏;,-1;
质量确实一般，不太好用,质量;NULL;,一般;不太好;,0;-1;
正货和假货掺着卖,NULL;,假货;,-1;
假货，原以为京东都是正品没想到也会出现假货，连二维码都扫不出来，现在脸部过敏严重,NULL;京东;NULL;脸部;NULL;,假货;正品;假货;过敏;严重;,-1;1;-1;-1;-1;
虽然是秒杀的，但是这个并不是纯正的手工皂，去污效果还行吧,NULL;去污效果;,不是纯正;还行;,-1;1;
挺好的，就是刚买回来插电时，有点发烫,NULL;,挺好;,1;
茶叶太差，不好唱，大家不要被骗，，，,茶叶;NULL;NULL;,太差;不好;不要被骗;,-1;-1;-1;
还可以，挺润的，不错,NULL;NULL;,还可以;不错;,1;1;
效果嘎嘎的，配送和安装都很满意，满分的选择,安装;NULL;,满意;满分;,1;1;
打开盖子闻起来还好，刚用的时候有种辣椒的味道，有点呛鼻，但是吸收之后就还好，可能不习惯这个味道，但是挺滋润的,NULL;NULL;NULL;NULL;,还好;呛鼻;还好;滋润;,1;-1;1;1;
物美价廉，很好。,NULL;NULL;,物美价廉;很好;,1;1;
安装很简单...质量很一般,安装;质量;,简单;一般;,1;0;
一般，不太好用&hellip;&hellip;&hellip;&hellip;,NULL;NULL;,一般;不太好;,0;-1;
网络无线连接时常掉线，遥控键盘反应慢，屏幕在无信号输入的时候，背光有亮有暗，售后也不好，后悔死了。,反应;售后;NULL;,慢;不好;后悔;,-1;-1;-1;
烧完水后，盖子上会有一股浓郁的皮味（塑料味）。,NULL;,浓郁;,1;
已安装好使用，风力大，制冷快，满意!,安装;制冷;NULL;,好;快;满意;,1;1;1;
机子电板太垃圾，待机才一天多点。?退货吗？,NULL;,垃圾;,-1;
洗完头发之后，头发柔顺很多。,头发;NULL;,柔顺;很多;,1;1;
用了几次了，可以，比超市便宜,NULL;NULL;,可以;便宜;,1;1;
还好吧。。。。。~~~,NULL;,还好;,1;
不好用，买了不到10天就坏了，很容易裂。,NULL;NULL;NULL;NULL;,不好用;坏;容易;裂;,-1;-1;1;-1;
物流不是一般的差!5天！物流出现严重错误，没有补救措施,物流;NULL;,不是一般;差;,0;-1;
很满意，效果不错！[追评],NULL;效果;,满意;不错;,1;1;
用了2个多月了，天天洗，有几次头皮很痒，以前从来都没出现过，而且产生大量头皮屑，控油也不是很明显，最重要我买的价格133.33，是行货！好失望,头皮;NULL;NULL;NULL;,很痒;明显;好;失望;,-1;0;1;-1;
挺好的，给老人洗衣服够用了～省地方还便宜！！～～～～～～,NULL;洗衣服;NULL;,挺好;够用;便宜;,1;1;1;
安装满意！！师傅很专业了！,安装;师傅;,满意;专业;,1;1;
现在男士系列感觉都好用过女士的，因为我们家都是油头发。本来想买炭爽的，那个挺好用。看这款特价试一下，也不错，具体还要再洗洗看。,感觉;NULL;NULL;,好用;爽;不错;,1;1;1;
"面霜质地细腻, 挺滋润的. 香味淡淡的, 蛮喜欢.",质地;NULL;香味;NULL;,细腻;滋润;淡淡的;喜欢;,1;1;1;1;
没有包装，差评！酒瓶有油质臭臭的，不知道是啥,NULL;酒瓶;,差评;臭臭的;,-1;-1;
味道还行，发货速度太慢了从拍下到收货足足10天,味道;,还行;,1;
很好用的，除了味道大一点，东西还是很正的！,NULL;,很好;,1;
光盘不错，很好用。。。</br>,光盘;NULL;,不错;很好;,1;1;
看上去很高大上，可是波动太大好么，有时能前后差4斤,看上去;,高大上;,1;
挺好的，刚开始以为是样机，后来才看到冰箱背后的生产曰期是17年1月份的，就不可能是样机了。[追评],NULL;,挺好;,1;
给妈妈买的，用着很方便，很愉快的一次购物,用着;NULL;,方便;愉快;,1;1;
感觉不好，跟实体店买的差好多，抹脸上根本吸收不了，抹着抹着全成白色的泥状了，滴一滴在盘子上干了以后成一层白色的膜了，像以前网上流传的营养快线做的实验那样，好烦……,NULL;营养;线;,干;快;好烦;,-1;1;-1;
商品不满意，没能调换。,商品;,不满意;,-1;
买回来不到一周，门上的玻璃掉了一半，感觉商品不是特别好，不知道是哪里出了问题，是商品本身就有质量问题,NULL;,好;,1;
不好用，真心不好不用，洗的衣服不干净,NULL;NULL;衣服;,不好用;不好;不干净;,-1;-1;-1;
非常不好使。最后用了3M电工胶带扎了一下,NULL;,不好;,-1;
11号定的衣服，16号才货，超级慢。,NULL;,慢;,-1;
做工有点粗糙，看着不精致,做工;看着;,粗糙;不精致;,-1;-1;
宝宝一直用，还不错，价格比商场低,NULL;商场;,不错;低;,1;-1;
东西不错，就是快递只送到物管，还要自己去取，我觉得小件自己去还没什么，大件应该送货上门，怎么不像电视里演的那样送货上门呢,东西;,不错;,1;
送朋友的，使用反馈还是晕，不是很满意,NULL;,满意;,1;
不要在这个打底裤了好差里面比外面长。,NULL;NULL;外面;,好;差;长;,1;-1;1;
不满意，质量很差,NULL;质量;,不满意;很差;,-1;-1;
表带太重，太大，不舒服,表带;NULL;,太重;不舒服;,-1;-1;
给奶奶买的，老人家年纪大了，洗衣服可以轻松点，相信大品牌！,洗衣服;NULL;,可以;轻松;,1;1;
电视可以，但送货师傅态度不好。,电视;态度;,可以;不好;,1;-1;
我是黑粗硬的沙发，长期规律地拉直，头发损伤还是难以避免的，这款发水清洁力度一般，洗了感觉不是很干，无功与过吧。,头发;力度;感觉;,损伤;一般;不是很干;,-1;0;1;
可能不适合我的肤质吧，用了以后会长包。。。。,,,
creamy natrual也太不白了 不适合国人肤色 和网上查的色号外观不一致…… 不过涂上倒是可以 粉感不明显 日常用比较滋润 和贵的粉底还是有很大差距 肤感和光泽很朴素,NULL;粉感;NULL;NULL;NULL;肤感;,可以;不明显;滋润;贵;很大;光泽;,1;0;1;-1;1;1;
是835处理器中最便宜的，升级系统后，特别的欢喜！,NULL;NULL;,便宜;欢喜;,1;1;
一直吃这个   还不错,NULL;,不错;,1;
给妈买的，不错，还是信任京东  不错 不错  不错,NULL;NULL;京东;NULL;NULL;,不错;信任;不错;不错;不错;,1;1;1;1;1;
"不错,手机速度挺快的,不比苹果差,支持![追评]",NULL;手机速度;苹果;,不错;挺快;差;,1;1;-1;
声音真的不是一般的大，不知道那么多好评哪里来的,声音;NULL;,不是一般;好评;,0;1;
风扇价格便宜，送货快，送货员态度好，这个是优点。。但缺点是：做工很差，连我用了 二十多年的一台小风扇的做工都比不上,送货;态度;做工;,快;好;很差;,1;1;-1;
发货太慢,,,
我用着不是很好，估计因人而异吧，是我用过最差的。,用着;,不是很好;,-1;
正常使用，功能多，容量大；不过看起来有点单薄，但愿耐用,NULL;NULL;NULL;,正常;单薄;耐用;,1;-1;1;
东西很一般，质量感觉不是很好，失望了哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦ok哦哦哦,东西;感觉;NULL;NULL;,一般;不是很好;失望;ok;,0;-1;-1;1;
手机质量不好，开外音放音乐，插上耳机听音乐！手机都会发出磁磁声音，并且在手上还震动&hellip;这是怎么回事？,质量;,不好;,-1;
一般般，两天新鲜劲,NULL;,一般般;,0;
